eventID,totalE_units,totalMIPs,energy_GeV
424,9.875029357641e+03,9.627163112509e+02,1.024088983040e+01
425,9.784365821491e+03,1.005309568540e+03,1.069397538667e+01
426,9.105469722403e+03,8.741432100398e+02,9.298693919891e+00
427,9.112236358138e+03,9.171609837581e+02,9.756295267505e+00
428,9.635082028021e+03,9.402923189197e+02,1.000235472682e+01
429,9.776862859871e+03,1.037556347191e+03,1.103700032942e+01
430,9.725821452833e+03,1.058738375485e+03,1.126232404692e+01
431,9.707800839982e+03,1.005504235991e+03,1.069604616068e+01
432,9.632747787426e+03,1.041317281574e+03,1.107700724966e+01
433,9.159580437576e+03,8.223784307105e+02,8.748046344888e+00
434,8.836624723821e+03,8.162382026434e+02,8.682729700272e+00
435,9.137330817086e+03,8.129416513657e+02,8.647662652939e+00
436,9.149487772012e+03,9.362644876071e+02,9.959508691860e+00
437,9.242696504414e+03,8.849644852693e+02,9.413805179724e+00
438,9.159618799167e+03,8.832604699312e+02,9.395678725292e+00
439,9.029344041821e+03,8.614113403463e+02,9.163258721232e+00
440,8.669733092697e+03,8.205764417338e+02,8.728877696378e+00
441,8.485875600238e+03,7.740100176666e+02,8.233527598851e+00
442,9.019858957752e+03,8.978424462850e+02,9.550794424074e+00
443,9.152259938127e+03,9.089554755265e+02,9.669009215716e+00
444,8.981196753731e+03,8.532385669467e+02,9.076320886051e+00
445,9.124235496073e+03,9.452931347503e+02,1.005555087961e+01
446,9.161454845091e+03,8.653779004641e+02,9.205452984172e+00
447,8.335105664375e+03,7.511095910977e+02,7.989924428509e+00
448,8.994338511867e+03,7.547344461847e+02,8.028483805932e+00
449,9.502953893490e+03,9.845016267587e+02,1.047263101254e+01
450,9.756993976107e+03,1.005862078246e+03,1.069985270584e+01
451,9.789488497663e+03,1.050062340703e+03,1.117003277136e+01
452,9.709641489082e+03,9.285472217349e+02,9.877416315669e+00
453,9.653724379075e+03,9.470499775544e+02,1.007423928594e+01
454,9.059418770137e+03,8.273390799018e+02,8.800815225255e+00
455,9.149389347171e+03,8.194006713484e+02,8.716370444925e+00
456,9.736153257630e+03,1.003785916091e+03,1.067776754155e+01
457,9.862086055770e+03,1.059469510682e+03,1.127010149383e+01
458,9.885978841474e+03,1.055317789750e+03,1.122593758368e+01
459,9.877776296312e+03,1.042934952826e+03,1.109421521932e+01
460,9.723842949733e+03,1.019825445113e+03,1.084838794938e+01
461,9.127634745754e+03,9.129293505653e+02,9.711281291089e+00
462,9.207102256170e+03,8.953951134522e+02,9.524760933600e+00
463,9.737373126211e+03,1.054265939958e+03,1.121474853690e+01
464,9.905692221786e+03,1.062221543900e+03,1.129937623309e+01
465,9.910741278359e+03,1.049614541809e+03,1.116526931292e+01
466,9.880694036066e+03,1.110703321337e+03,1.181510089228e+01
467,9.743730914404e+03,9.359657079652e+02,9.956330424950e+00
468,9.241178995299e+03,9.124411074889e+02,9.706087607864e+00
